Join Year,Organization,Title,Address,City,State,ZipPostal,CountryOverride,Locale,Phone,URL,Latitude,Longitude,PartnerTypes,NewUntil,Created,Updated
2014,Seafood Watch,Mystic Aquarium,55 Coogan Blvd,Mystic,Connecticut,6355,United States,null,(860) 572-5955,http://www.mysticaquarium.org/,41.373331,-71.953226,Conservation Partner,null,8/26/14 13:06,9/9/15 13:58
2018,Seafood Watch,Mom's Organic Market,3831 Mt. Vernon Ave.,Alexandria,Virginia,22305,United States,null,(703) 535-5980,https://momsorganicmarket.com/,38.841082,-77.062795,Business Partner,null,3/8/18 22:38,3/8/18 22:47
2018,Seafood Watch,Mom's Organic Market,1901 N. Veitch St.,Arlington,Virginia,22201,United States,null,(571) 354-8833,https://momsorganicmarket.com,38.8963801,-77.0860209,Business Partner,null,3/8/18 22:43,3/8/18 22:47
2018,Seafood Watch,Mom's Organic Market,6824 Race Track Rd.,Bowie,Maryland,20715,United States,null,(240) 556-1700,https://momsorganicmarket.com,40.0267687,-75.328998,Business Partner,null,3/8/18 22:47,7/17/18 21:02
2018,Seafood Watch,Mom's Organic Market,1149 E. Lancaster Ave.,Bryn Maw,Pennsylvania,19010,United States,null,(484) 385-0220,https://momsorganicmarket.com,40.0267687,-75.328998,Business Partner,null,3/8/18 22:50,3/8/18 22:51
2018,Seafood Watch,Mom's Organic Market,34 South 11th Street,Philadelphia,Pennsylvania,19107,United States,null,(215) 709-0022,https://momsorganicmarket.com,39.9508908,-75.1587593,Business Partner,null,3/8/18 22:52,3/8/18 22:53
2018,Seafood Watch,Mom's Organic Market,1631 Kings Hwy N.,Cherry Hill,New Jersey,8034,United States,null,(856) 685-5760,https://momsorganicmarket.com,39.9151882,-75.0090493,Business Partner,null,3/8/18 22:53,7/17/18 21:02
2018,Seafood Watch,Mom's Organic Market,9827 Rhode Island Ave.,College Park,Maryland,20740,United States,null,(301) 220-1100,https://momsorganicmarket.com,39.0147586,-76.9200656,Business Partner,null,3/8/18 22:56,3/8/18 22:57
2018,Seafood Watch,Mom's Organic Market,5273 Buckeystown Pike,Frederick,Maryland,21703,United States,null,(240) 566-1444,https://momsorganicmarket.com,39.0147586,-76.9200656,Business Partner,null,3/8/18 22:57,3/8/18 22:59
2018,Seafood Watch,Mom's Organic Market,10 Upper Rock Circle,Rockville,Maryland,20850,United States,null,(301) 250-1165,https://momsorganicmarket.com/maryland/,39.11248,-77.18423,Business Partner,null,7/16/18 20:51,7/17/18 21:03
2018,Seafood Watch,Mom's Organic Market,"711 W. 40th St., #163",Baltimore,Maryland,21211,United States,null,(667) 219-2500,https://momsorganicmarket.com,39.3364418,-76.6302604,Business Partner,null,3/8/18 22:59,3/8/18 23:01
2018,Seafood Watch,Mom's Organic Market,424 Elden St.,Herndon,Virginia,20170,United States,null,(703) 483-6740,https://momsorganicmarket.com,38.9701713,-77.3748569,Business Partner,null,3/8/18 23:01,3/8/18 23:02
2018,Seafood Watch,Mom's Organic Market,1501 New York Ave. NE,Washington,District of Columbia,20002,United States,null,null,https://momsorganicmarket.com,38.9156047,-76.9830411,Business Partner,null,3/8/18 23:03,3/8/18 23:04
2018,Seafood Watch,Mom's Organic Market,"7351 Assateague Dr., #190",Jessup,Maryland,20794,United States,null,(410) 799-2175,https://momsorganicmarket.com,39.1695929,-76.7859472,Business Partner,null,3/8/18 23:04,3/8/18 23:06
2018,Seafood Watch,Mom's Organic Market,8298 Glass Alley,Fairfax,Virginia,22031,United States,null,(703) 663-8810,https://momsorganicmarket.com,38.8736894,-77.2310612,Business Partner,null,3/8/18 23:06,3/8/18 23:08
2018,Seafood Watch,Mom's Organic Market,5566 Randolph Rd.,Rockville,Maryland,20852,United States,null,(301) 816-4944,https://momsorganicmarket.com,39.05293,-77.112265,Business Partner,null,3/8/18 23:08,3/8/18 23:10
2018,Seafood Watch,Mom's Organic Market,20 W Ridgely Rd.,Timonium,Maryland,21093,United States,null,(443) 921-1390,https://momsorganicmarket.com,39.4307914,-76.6232796,Business Partner,null,3/8/18 23:10,3/8/18 23:11
2018,Seafood Watch,Mom's Organic Market,3301 Plaza Way,Waldorf,Maryland,20603,United States,null,(301) 861-5720,https://momsorganicmarket.com,38.62177,-76.9182233,Business Partner,null,3/8/18 23:12,3/8/18 23:13
2018,Seafood Watch,Mom's Organic Market,5267 Campbell Blvd.,White Marsh,Maryland,21236,United States,null,(443) 461-2033,https://momsorganicmarket.com,39.3544315,-76.4227435,Business Partner,null,3/8/18 23:13,3/8/18 23:15
2018,Seafood Watch,Mom's Organic Market,14470 Smoketown Rd.,Woodbridge,Virginia,22193,United States,null,(571) 398-3043,https://momsorganicmarket.com,38.6381562,77.3002844,Business Partner,null,3/8/18 23:15,3/8/18 23:16
2016,Seafood Watch,Hook and Spear at Newport Beach Marriott Hotel and Spa,900 Newport Center Drive,Newport Beach,California,92660,United States,null,(949) 640-4000,https://www.marriott.com/hotels/travel/laxnb-newport-beach-marriott-hotel-and-spa/,33.617,-117.879,Restaurant Partner,6/12/17 7:00,12/12/16 14:43,1/31/19 19:22
2014,Seafood Watch,Naples Zoo at Caribbean Gardens,1590 Goodlette-Frank Rd,Naples,Florida,34102,United States,null,(239) 262-5409,http://www.napleszoo.org,26.16916,-81.788877,Conservation Partner,null,8/26/14 13:06,9/23/15 12:22
2015,Seafood Watch,Nashville Zoo,3777 Nolensville Pike,Nashville,Tennessee,37211,United States,null,(615) 833-1534,http://www.nashvillezoo.org/,36.089856,-86.733971,Conservation Partner,6/12/15 0:00,2/19/15 9:44,9/23/15 12:22
2014,Seafood Watch,National Aquarium,501 E Pratt St,Baltimore,Maryland,21202-3194,United States,null,(410) 576-3800,http://www.aqua.org,39.284598,-76.608534,Conservation Partner,null,8/26/14 13:05,7/27/16 11:34
2014,Seafood Watch,National Aviary,700 Arch St,Pittsburgh,Pennsylvania,15212,United States,null,(412) 323-7235,http://www.aviary.org,40.453679,-80.010293,Conservation Partner,null,8/26/14 13:06,9/23/15 12:22
2015,Seafood Watch,National Mississippi River Museum and Aquarium,350 E. 3rd St,Dubuque,Iowa,52001,United States,null,(563) 557-9545,http://www.mississippirivermuseum.com/,42.495621,-90.659112,Conservation Partner,7/3/15 0:00,2/3/15 11:20,9/23/15 12:22
2017,Seafood Watch,Netuno USA,"18501 Pines Blvd., Suite 206",Pembroke Pines,Florida,33029,United States,null,(305) 513-0904,http://netunousa.com/,26.01025,80.396019,Industry Collaborator,3/15/18 7:00,9/16/17 0:32,1/21/19 18:15
2014,Seafood Watch,New Frontiers Natural Marketplace,1984 Old Mission Dr. Suite A-7,Solvang,California,93463,United States,null,(805) 785-0194,http://www.newfrontiersmarket.com/#1,34.599362,-120.129721,Business Partner,4/28/14 0:00,8/26/14 13:05,7/27/16 11:34
2018,Seafood Watch,New Leaf Community Market,13159 Central Ave,Boulder Creek,California,95006,United States,null,(831) 338-7211,http://www.newleaf.com,37.1248,-122.12243,Business Partner,7/29/18 16:09,2/15/18 17:09,2/15/18 17:13
2018,Seafood Watch,New Leaf Community Market,1210 41st Ave.,Capitola,California,95010,United States,null,(831) 479-7987,http://www.newleaf.com/,36.969401,-121.963628,Business Partner,7/29/18 7:00,1/29/18 17:10,2/15/18 17:13
2018,Seafood Watch,New Leaf Community Market,1134 Pacific Ave.,Santa Cruz,California,95060,United States,null,(831) 425-1793,http://www.newleaf.com,36.959168,-122.046479,Business Partner,7/29/18 16:07,2/15/18 16:59,2/15/18 17:13
2017,Seafood Watch,"New Wave Foods, Inc",404 Clipper Cove Way,San Francisco,California,94130,United States,null,(702) 290-1933,http://www.newwavefoods.com/,null,null,Business Partner,6/4/18 7:00,12/4/17 17:47,2/2/18 0:47
2014,Seafood Watch,New York Aquarium,602 Surf Ave,Brooklyn,New York,11224,United States,null,(718) 265-3474,http://www.nyaquarium.com,40.574008,-73.975856,Conservation Partner,12/6/13 0:00,8/26/14 13:06,9/23/15 12:22
2015,Seafood Watch,New Zealand King Salmon Company,93 Beatty Street,Tahunanui,null,null,"Nelson, New Zealand",null,03 548 5714,http://www.kingsalmon.co.nz/,-41.29505,173.236452,Industry Collaborator,7/24/15 7:00,3/3/15 10:34,1/21/19 18:15
2014,Seafood Watch,NEW Zoo & Adventure Park,4378 Reforestation Rd,Green Bay,Wisconsin,54313,United States,null,(920) 434-7841,http://newzoo.org,44.660348,-88.089133,Conservation Partner,12/15/14 0:00,8/26/14 13:06,9/23/15 12:22
2019,Seafood Watch,NICO Oysters and Seafood,201 Coleman Blvd.,Mount Pleasant,South Carolina,29464,United States,null,843-352-7969,https://www.nicoshemcreek.com/,32.7913988,-79.8796746,Restaurant Partner,6/17/19 7:00,1/17/19 21:11,1/17/19 21:14
2017,Seafood Watch,Norpac Fisheries Export,1535 Colburn Street,Honolulu,California,96817,United States,null,(808) 423-3474,http://www.norpacexport.com/,21.32506,-157.878967,Industry Collaborator,5/17/18 7:00,11/17/17 22:07,1/21/19 18:15
2015,Seafood Watch,Northeast Seafood Products,4555 Kingston St,Denver,Colorado,80239,United States,null,(303) 373-2226,http://northeastseafood.com/,39.781022,-104.859584,Industry Collaborator,3/22/16 0:00,9/29/15 9:54,1/21/19 18:15
2018,Seafood Watch,Nourish Sequim,101 Provence View Lane,Sequim,Washington,98382,United States,null,360-797-1480,http://www.nourishsequim.com,48.068292,-123.102823,Restaurant Partner,3/18/19 7:00,9/18/18 18:22,9/18/18 18:24
2018,Seafood Watch,Nova Austral,2497 Heron Terrace - Suite C101,Clearwater,Florida,33762,United States,null,null,http://nova-austral.cl/,null,null,Industry Collaborator,7/12/18 16:00,3/5/18 16:36,1/21/19 18:15
2018,Seafood Watch,NOVA Austral SA,null,null,null,null,Chile,null,null,http://nova-austral.cl/,null,null,Industry Collaborator,7/12/18 7:00,1/12/18 21:42,1/21/19 18:15
2016,Seafood Watch,Nushii,1055 Broxton Ave,Los Angeles,California,90024,United States,null,(847) 529-3851,http://www.nushii.com/,34.061,-118.446,Restaurant Partner,4/3/17 0:00,10/3/16 13:58,10/3/16 14:16
2018,Seafood Watch,New Leaf Community Market,6240 Highway 9,Felton,California,95018,United States,null,(831) 335-7322,http://www.newleaf.com,37.052001,-122.072723,Business Partner,7/29/18 16:07,2/15/18 17:05,2/15/18 17:13
2018,Seafood Watch,New Leaf Community Market,150 San Mateo Rd.,Half Moon Bay,California,94019,United States,null,(650) 726-3110,http://www.newleaf.com/,37.469123,-122.432169,Business Partner,7/29/18 7:00,1/29/18 17:12,2/15/18 17:13
2018,Seafood Watch,New Leaf Community Market,1101 Fair Ave.,Santa Cruz,California,95060,United States,null,(831) 426-1306,http://www.newleaf.com/,36.959151,-122.046383,Business Partner,7/29/18 7:00,1/29/18 17:14,3/14/18 21:19
2015,Seafood Watch,New Pioneer Food Co op,3338 Center Point Road NE,Cedar Rapids,Iowa,52402,United States,null,(319) 365-2632,http://www.newpi.coop/,42.012969,-91.663414,Business Partner,10/30/15 0:00,4/30/15 11:37,9/23/15 12:22
2015,Seafood Watch,New Pioneer Food Co op,1101 2nd St.,Coralville,Iowa,52241,United States,null,(319) 358-5513,http://www.newpi.coop/,41.674543,-91.580261,Business Partner,10/30/15 0:00,4/30/15 11:33,9/23/15 12:22
2014,Seafood Watch,New Pioneer Food Co op,22 S Van Buren St,Iowa City,Iowa,52240,United States,null,(319) 248-6408,http://www.newpi.coop/,41.660497,-91.528359,Business Partner,4/30/15 0:00,10/31/14 9:49,12/20/16 17:47
2017,Seafood Watch,New Seasons Market,6400 N Interstate Avenue,Portland,Oregon,97217,United States,null,(503) 517-0707,https://www.newseasonsmarket.com/,45.568935,-122.681938,Business Partner,7/29/18 7:00,10/25/17 22:00,2/19/18 23:26
2017,Seafood Watch,New Seasons Market,3495 SW Cedar Hills Boulevard,Beaverton,Oregon,97005,United States,null,null,https://www.newseasonsmarket.com/,45.494411,-122.812592,Business Partner,7/29/18 7:00,10/25/17 22:14,2/19/18 23:28
2017,Seafood Watch,New Seasons Market,5320 NE 33rd Ave,Portland,Oregon,97211,United States,null,(503) 288-3838,https://www.newseasonsmarket.com/,45.561329,-122.630539,Business Partner,7/29/18 7:00,10/25/17 22:29,2/19/18 23:28
2018,Seafood Watch,New Seasons Market,5667 Silver Creek Valley Road,San Jose,California,95138,United States,null,(408) 513-8200,https://www.newseasonsmarket.com/our-stores/evergreen/,37.287932,-121.780757,Business Partner,7/29/18 7:00,2/20/18 23:09,2/20/18 23:11
2017,Seafood Watch,New Seasons Market,"2100 B SE 164th Avenue, Ste. 101",Vancouver,Washington,98683,United States,null,(360) 760-5005,https://www.newseasonsmarket.com/,45.605389,-122.505638,Business Partner,4/25/18 7:00,10/25/17 22:58,10/25/17 23:03
2017,Seafood Watch,New Seasons Market,3210 NE Broadway,Portland,Oregon,97232,United States,null,(503) 282-2080,https://www.newseasonsmarket.com/,45.53492,-122.632706,Business Partner,7/29/18 7:00,10/25/17 23:14,2/19/18 23:26
2017,Seafood Watch,New Seasons Market,15861 SE Happy Valley Town Center,Happy Valley,Oregon,97086,United States,null,(503) 588-9214,https://www.newseasonsmarket.com/,45.428371,-122.499855,Business Partner,4/25/18 7:00,10/25/17 23:25,10/25/17 23:43
2017,Seafood Watch,New Seasons Market,4034 SE Hawthorne Blvd,Portland,Oregon,97214,United States,null,(503) 236-4800,https://www.newseasonsmarket.com/,45.511856,-122.62072,Business Partner,7/29/18 7:00,10/25/17 23:44,2/19/18 23:26
2018,Seafood Watch,New Seasons Market,2755 77th Ave SE,Mercer Island,Washington,98040,United States,null,(206) 232-2577,https://www.newseasonsmarket.com/our-stores/mercerisland/,47.585267,-122.235846,Business Partner,7/29/18 7:00,2/20/18 23:11,2/20/18 23:13
2017,Seafood Watch,New Seasons Market,3 Monroe Parkway Ste. R,Lake Oswego,Oregon,97035,United States,null,(503) 496-1155,https://www.newseasonsmarket.com/,45.433765,-122.703133,Business Partner,7/29/18 7:00,10/26/17 17:36,2/19/18 23:26
2017,Seafood Watch,New Seasons Market,7703 SW Nyberg Street,Tualatin,Oregon,97062,United States,null,(503) 692-3535,https://www.newseasonsmarket.com/,45.3839,-122.756554,Business Partner,7/29/18 7:00,10/26/17 17:48,2/19/18 23:26
2017,Seafood Watch,New Seasons Market,1453 NE 61st Ave,Hillsboro,Oregon,97124,United States,null,(503) 648-6968,https://www.newseasonsmarket.com/,37.356831,-122.02002,Business Partner,7/29/18 7:00,10/26/17 17:59,2/19/18 23:26
2017,Seafood Watch,New Seasons Market,14805 SW Barrows Rd Ste. 103,Beaverton,Oregon,97007,United States,null,(503) 597-6777,https://www.newseasonsmarket.com/,37.356831,-122.02002,Business Partner,7/29/18 7:00,10/26/17 18:09,2/20/18 15:50
2017,Seafood Watch,New Seasons Market,7300 SW Beaverton-Hillsdale Hwy,Portland,Oregon,97225,United States,null,(503) 292-6838,https://www.newseasonsmarket.com/,45.485508,-122.751816,Business Partner,7/29/18 7:00,10/26/17 18:12,2/20/18 15:50
2017,Seafood Watch,New Seasons Market,1214 SE Tacoma Street,Portland,Oregon,97202,United States,null,(503) 230-4949,https://www.newseasonsmarket.com/,45.46405,-122.653809,Business Partner,7/29/18 7:00,10/26/17 18:16,2/20/18 23:13
2017,Seafood Watch,New Seasons Market,1954 SE Division Street,Portland,Oregon,97202,United States,null,(503) 445-2888,https://www.newseasonsmarket.com/,45.504719,-122.646385,Business Partner,7/29/18 7:00,10/26/17 18:20,2/19/18 23:25
2017,Seafood Watch,New Seasons Market,2170 NW Raleigh Street,Portland,Oregon,97210,United States,null,(503) 224-7522,https://www.newseasonsmarket.com/,45.504719,-122.646385,Business Partner,7/29/18 7:00,10/26/17 18:23,2/19/18 23:25
2017,Seafood Watch,New Seasons Market,6300 N. Lombard St.,Portland,Oregon,97203,United States,null,(503) 289-0834,https://www.newseasonsmarket.com/,37.356831,-122.02002,Business Partner,7/29/18 7:00,10/26/17 18:29,2/19/18 23:25
2017,Seafood Watch,New Seasons Market,3445 N. Williams Avenue,Portland,Oregon,97227,United States,null,(503) 528-2888,https://www.newseasonsmarket.com/,45.547867,-122.667297,Business Partner,7/29/18 7:00,10/26/17 18:32,2/19/18 23:25
2017,Seafood Watch,New Seasons Market,4500 Southeast Woodstock Boulevard,Portland,Oregon,97206,United States,null,(503) 771-9663,https://www.newseasonsmarket.com/store-map/?whichstore=woodstock,45.478915,-122.616244,Business Partner,7/29/18 7:00,10/26/17 18:34,2/19/18 23:25
2014,Seafood Watch,Oakland Zoo,9777 Golf Links Rd,Oakland,California,94605,United States,null,(510) 632-9525,http://oaklandzoo.org/,37.751743,-122.147606,Conservation Partner,null,8/26/14 13:05,12/5/17 18:27
2017,Seafood Watch,Ocean Quality North America Inc.,500-4445 Lougheed Highway,"Burnaby, BC",null,V5C0E4,Canada,null,(778) 379-4242,http://oceanquality.com/,49.266674,-123.004822,Industry Collaborator,3/19/18 7:00,9/19/17 21:36,1/21/19 18:15
2017,Seafood Watch,Oceanic Global Foundation,null,New York,New York,10014,United States,null,null,https://oceanic.global/,null,null,Conservation Partner,2/15/18 8:00,8/15/17 21:16,1/31/19 18:52
2017,Seafood Watch,Odysea Aquarium,"9500 E. Via de Ventura, A-100",Scottsdale,Arizona,85256,United States,null,(480) 291-8000,http://www.odyseaaquarium.com/,33.554732,-111.877554,Conservation Partner,12/20/17 8:00,6/20/17 23:20,6/20/17 23:26
2016,Seafood Watch,Off The Hook,1300 Matador Dr.,Hollister,California,95023,United States,null,(831) 245-6370,https://www.facebook.com/offthehookcalifarmersmarket,36.850983,-121.378174,Business Partner,11/26/16 8:00,5/4/16 15:56,7/10/18 21:55
2018,Seafood Watch,Off the Hook Fishbar,749 Broadview Ave.,Toronto,Ontario,M4J3r3,Canada,null,416-465-4356,http://www.Offthehookfishbar.com,43.6759128,-79.358405,Restaurant Partner,4/22/19 7:00,10/22/18 17:47,10/22/18 17:50
2018,Seafood Watch,Oglebay Good Zoo,465 Lodge Drive,Wheeling,West Virginia,26003,United States,null,(800) 624-6988,https://oglebay.com/good-zoo/,40.097076,-80.666728,Conservation Partner,10/4/18 7:00,4/26/18 22:34,6/14/18 18:39
2018,Seafood Watch,OneForNeptune,137 San Marcos Loop,Santa Fe,New Mexico,87508,United States,null,(619) 322-9290,https://www.oneforneptune.com/,null,null,Industry Collaborator,2/17/19 8:00,8/17/18 17:53,1/21/19 18:15
2018,Seafood Watch,Orca Seafoods,Calle 47 #266 Col Benito Juarez Norte,Merida,null,97119,Mexico,null,null,http://www.orca-foods.com/,null,null,Industry Collaborator,9/5/18 16:00,3/6/18 18:04,1/21/19 18:15
2017,Seafood Watch,Oryx Capital,Blvd Agua Caliente 10750 int 85 colonia Aviacion,"Tijuana, Baja California",null,22014,Mexico,null,null,http://oryxcapital.mx/,32.51301,-117.0035,Restaurant Partner,4/16/18 7:00,10/16/17 21:43,6/14/18 18:39
2014,Seafood Watch,Ocean Naturals/ The Tuna Store,"10500 NE 8th ST, Suite 1888",Bellevue,Washington,98004,United States,National,(425) 623-1200,http://www.oceannaturals.com/,47.617879,-122.200246,Industry Collaborator,11/20/14 0:00,8/26/14 13:06,1/21/19 18:15
2015,Seafood Watch,Ocean Outcomes,421 SW 6th Ave Ste 1400,Portland,Oregon,97204,United States,null,(503) 395-4064,http://www.oceanoutcomes.org/,45.520952,-122.67795,Conservation Partner,10/29/15 0:00,4/29/15 12:01,11/12/15 11:01
2014,Seafood Watch,"Ocean Research and Conservation Association, Inc.",1420 Seaway Drive,Fort Pierce,Florida,34949,United States,null,(772) 467-1600,http://www.teamorca.org,27.467763,-80.298607,Conservation Partner,null,8/26/14 13:06,11/12/15 11:01
2015,Seafood Watch,Ocean2Table,null,Santa Cruz,California,95060,United States,null,(831) 428-2526,http://www.getocean2table.com/,null,null,Business Partner,4/12/16 0:00,10/19/15 8:46,8/21/16 17:13
2014,Seafood Watch,Oceans of Fun at the Milwaukee County Zoo,10001 West Bluemound Road,Milwaukee,Wisconsin,53226,United States,null,(414) 453-5527,http://www.oceansoffun.org/location_milw_co_zoo,43.034479,-88.040585,Conservation Partner,null,8/26/14 13:06,11/12/15 11:02
2015,Seafood Watch,Oklahoma City Zoological Park And Botanical Garden,2000 Remington Pl,Oklahoma City,Oklahoma,73111,United States,null,(405) 424-3344,http://www.okczoo.com/,35.517938,-97.474528,Conservation Partner,10/24/15 0:00,4/27/15 9:27,11/12/15 11:02
2014,Seafood Watch,Old Fisherman's Grotto,39 Fishermans Wharf,Monterey,California,93940,United States,null,(831) 375-4604,http://www.oldfishermansgrotto.com,36.604303,-121.892957,Restaurant Partner,null,8/26/14 13:05,11/12/15 11:02
2014,Seafood Watch,Omaha's Henry Doorly Zoo and Aquarium,3701 S 10th St,Omaha,Nebraska,68107,United States,null,(402) 733-8400,http://www.omahazoo.com,41.225415,-95.926434,Conservation Partner,null,8/26/14 13:06,11/12/15 11:02
2015,Seafood Watch,Open Farm,null,Toronto - Ontario,null,M5R 1V2,Canada,International,(416) 925-3080,http://www.openfarmpet.com/,43.676498,-79.400902,Business Partner,12/23/15 8:00,6/24/15 9:50,1/5/18 16:44
2014,Seafood Watch,Oregon Zoo,4001 Southwest Canyon Road,Portland,Oregon,97221,United States,null,(503) 226-1561,http://www.oregonzoo.org/,45.510316,-122.715975,Conservation Partner,null,8/26/14 13:05,3/22/16 11:25
2015,Seafood Watch,Orlando Science Center,777 E Princeton St,Orlando,Florida,32803,United States,null,(407) 514-2000,http://www.osc.org/,28.572277,-81.368191,Conservation Partner,3/29/16 0:00,9/29/15 15:57,11/12/15 11:01
2017,Seafood Watch,Pacific Dream Seafood,116 O Ave.,Anacortes,Washington,98221,United States,null,null,https://pacdream.com/,48.5117,-122.616898,Industry Collaborator,3/22/18 7:00,9/22/17 22:52,1/21/19 18:15
2018,Seafood Watch,Pacific Marine Mammal Center,20612 Laguna Canyon Road,Laguna Beach,California,92651,United States,null,(949) 494-3050,http://pacificmmc.org,33.5733513,-117.7625453,Conservation Partner,null,8/28/18 21:53,8/29/18 23:02
2018,Seafood Watch,Park Place Restaurant,50 Third Street,Lakeport,California,95453,United States,null,(707) 263-0444,https://www.parkplacelakeport.com/,39.04409,-122.914177,Restaurant Partner,12/2/18 8:00,7/5/18 18:14,7/5/18 18:16
2015,Seafood Watch,Park Slope Food Coop,782 Union Street,Brooklyn,New York,11215,United States,null,(718) 622-0560,http://www.foodcoop.com/home,40.674799,-73.976854,Business Partner,5/4/16 0:00,12/10/15 8:22,12/10/15 8:31
2016,Seafood Watch,Parque Zoologico Nacional La Aurora,5a Calle Interior Finca La Aurora Zona 13,Guatemala,null,1013,Guatemala,null,(502) 52061465,http://www.aurorazoo.org.gt,14.597677,-90.526229,Conservation Partner,1/27/17 0:00,7/28/16 13:44,9/15/16 15:15
2018,Seafood Watch,Pennington Marine Science Center,P.O. Box 5066,Avalon,California,90704,United States,null,(310) 510-1795,https://www.facebook.com/ebPMSC/?ref=bookmarks,33.3428193,-118.3282279,Conservation Partner,2/15/19 8:00,8/20/18 21:12,8/29/18 23:02
2018,Seafood Watch,Philadelphia Zoo,3400 West Girard Ave.,Philadelphia,Pennsylvania,19104,United States,null,(215) 243-5215,http://www.philadelphiazoo.org,39.9737545,-75.1954785,Conservation Partner,null,9/4/18 17:43,1/24/19 19:35
2018,Seafood Watch,Polar Quality,"Sjoegt. 21, 8006 Bodoe",Bodoe,null,8006,Norway,International,4775541830,https://www.polarquality.no,null,null,Industry Collaborator,8/16/18 13:00,2/16/18 18:38,1/24/19 19:35
2017,Seafood Watch,Port Townsend Marine Science Center,532 Battery Way,Port Townsend,Washington,98368,United States,null,(360) 3805-5582,http://ptmsc.org/,48.136,-122.77,Conservation Partner,7/30/17 7:00,1/31/17 0:57,1/31/17 1:00
2018,Seafood Watch,Prawn Grand Central Market,317 S. Broadway,Los Angeles,California,90013,United States,null,null,http://prawncoastal.com/,34.050655,-118.2487951,Restaurant Partner,3/13/19 7:00,9/18/18 19:18,1/24/19 19:35
2018,Seafood Watch,Prawn Pasadena,16 Miller Alley,Pasadena,California,91103,United States,null,(626) 219-6115,http://prawncoastal.com/,34.14609,-118.1516853,Restaurant Partner,3/13/19 7:00,9/18/18 19:15,1/24/19 19:35
2018,Seafood Watch,Prestige Oysters,PO BOX 8448,Bacliff,Texas,77518,United States,null,null,http://www.prestigeoysters.com/home,null,null,Business Partner,9/2/18 13:00,3/2/18 20:14,7/26/18 20:37
2017,Seafood Watch,Preux & Proper,840 S Spring St.,Los Angeles,California,90014,United States,National,(213) 896-0090,http://www.preuxandproper.com/,34.042,-118.254,Restaurant Partner,8/21/17 7:00,2/22/17 17:38,2/22/17 17:44
2018,Seafood Watch,Princess Seafood,null,Fort Bragg,California,95437,United States,null,(707) 684-9155,http://fvprincess.com/,null,null,Business Partner,8/12/18 7:00,2/12/18 23:04,1/24/19 19:35
2018,Seafood Watch,Project Oceanology,1084 Shennecossett Rd.,Groton,Connecticut,6340,United States,null,(860) 445-9007,http://www.oceanology.org/,41.317737,-72.063789,Conservation Partner,8/14/18 7:00,4/26/18 23:00,8/1/18 23:50
2016,Seafood Watch,Pueblo Zoo,3455 Nuckolls Ave.,Pueblo,Colorado,81005,United States,null,(719) 561-1452,http://www.pueblozoo.org,38.261206,-104.655648,Conservation Partner,2/17/17 0:00,8/17/16 16:33,8/22/16 12:53
2018,Seafood Watch,Pursue Detroit,160 W Fort St.,Detroit,Michigan,48226,United States,null,3132694312,http://www.pursuedetroit.com,42.3305626,-83.0486393,Restaurant Partner,4/30/19 7:00,10/30/18 17:54,1/24/19 19:35
2018,Seafood Watch,The Peninsula New York,700 Fifth Avenue at 55th Street,New York,New York,10019,United States,null,(212) 956-2888,http://newyork.peninsula.com/en/special-offers/winter-online-exclusive-offer?gclid=Cj0KCQiAuP7UBRDiARIsAFpxiRL07uuMknTajFwSLFzK41S2Ih8G3-IV8qeIEBWaiFg33xsqcRfoJMcaAjifEALw_wcB&gclsrc=aw.ds,40.761838,-73.975512,Business Partner,9/7/18 7:00,3/7/18 17:48,3/14/18 21:19
2014,Seafood Watch,Pacific Sushi & Grill,613 Chetco Ave,Brookings,Oregon,97415,United States,null,(541) 251-7707,http://541sushi.com,42.052442,-124.281856,Restaurant Partner,2/9/15 0:00,9/9/14 16:58,11/12/15 11:00
2014,Seafood Watch,Passionfish,701 Lighthouse Ave,Pacific Grove,California,93950,United States,null,(831) 655-3311,http://www.passionfish.net,36.622727,-121.920905,Restaurant Partner,null,8/26/14 13:05,11/12/15 11:00
2014,Seafood Watch,Peter B's Brewpub at the Portola Hotel and Spa,2 Portola Plaza,Monterey,California,93940,United States,null,(831) 649-2699,http://www.peterbsbrewpub.com,36.601481,-121.894482,Restaurant Partner,null,8/26/14 13:05,1/11/16 16:57
2014,Seafood Watch,Phoenix Zoo,455 North Galvin Pkwy,Phoenix,Arizona,85008,United States,null,(602) 286-3800,http://www.phoenixzoo.org,33.4499,-111.946598,Conservation Partner,null,8/26/14 13:06,11/12/15 10:59
2014,Seafood Watch,Pier Market Restaurant,39 Pier 39 Concourse #103,San Francisco,California,94133,United States,null,(415) 989-7437,http://www.piermarket.com/,37.809938,-122.410556,Restaurant Partner,1/1/14 0:00,8/26/14 13:06,11/12/15 10:58
2014,Seafood Watch,Pierre Lafond Wine Bistro,516 San Ysidro Rd,Montecito,California,93108,United States,null,(805) 969-7520,http://www.pierrelafond.com/,34.437504,-119.631362,Restaurant Partner,12/1/13 0:00,8/26/14 13:05,11/12/15 10:58
2016,Seafood Watch,Precious Cargo Seafood Company,63356 Nels Anderson Road #4,Bend,Oregon,97701,United States,null,(541) 420-9369,http://www.preciouscargoseafood.com/,44.101,-121.297,Industry Collaborator,5/7/17 0:00,11/7/16 15:55,1/21/19 18:15
